direction,lag,f_stat,p_value,sig
GPR → Gold,1,0.123,0.7265,
GPR → Gold,2,0.749,0.4737,
GPR → Gold,3,0.911,0.4356,
GPR → Gold,4,1.048,0.3821,
Gold → GPR,1,0.327,0.5675,
Gold → GPR,2,0.089,0.9149,
Gold → GPR,3,0.05,0.9851,
Gold → GPR,4,0.03,0.9983,
GPRA → Gold,1,0.051,0.8206,
GPRA → Gold,2,0.261,0.7707,
GPRA → Gold,3,0.949,0.417,
GPRA → Gold,4,0.873,0.4802,
Gold → GPRA,1,0.325,0.569,
Gold → GPRA,2,0.286,0.7515,
Gold → GPRA,3,0.101,0.9593,
Gold → GPRA,4,0.144,0.9657,
GPRT → Gold,1,0.096,0.7573,
GPRT → Gold,2,0.74,0.4779,
GPRT → Gold,3,0.669,0.5715,
GPRT → Gold,4,1.017,0.3981,
Gold → GPRT,1,0.331,0.5652,
Gold → GPRT,2,0.176,0.8383,
Gold → GPRT,3,0.116,0.9506,
Gold → GPRT,4,0.16,0.9586,
