sample,variable,coeff,nw_se,t_stat,p_value,sig
Full sample,const,0.1406,0.4911,0.286,0.7749,
Full sample,dln_GPR,0.3765,0.5999,0.628,0.5306,
Full sample,R_SP500,0.0103,0.0412,0.249,0.8034,
Full sample,VIX,0.0177,0.0228,0.776,0.4382,
War sub-sample,const,0.2237,1.066,0.21,0.8344,
War sub-sample,dln_GPR,0.9758,0.9556,1.021,0.3107,
War sub-sample,R_SP500,0.2097,0.0807,2.599,0.0114,**
War sub-sample,VIX,0.0153,0.0406,0.378,0.7067,
Control group,const,0.2374,0.6285,0.378,0.7063,
Control group,dln_GPR,0.538,1.41,0.382,0.7035,
Control group,R_SP500,0.0152,0.0681,0.223,0.8242,
Control group,VIX,-0.0017,0.0193,-0.088,0.9297,
